date,con,asy,atc
2022-07-19,3,7,0
2022-07-20,2,5,0
2022-07-21,1,4,0
2022-07-22,2,4,0
2022-07-23,3,7,0
2022-07-24,0,3,0
2022-07-25,0,2,0
2022-07-26,2,5,0
2022-07-27,0,2,0
2022-07-28,0,4,0
2022-08-01,0,2,0
2022-08-02,0,1,0
2022-08-04,0,1,0
2022-08-08,0,1,0
2022-08-09,0,5,0
2022-08-10,2,16,0
2022-08-11,0,11,0
2022-08-12,9,28,0
2022-08-13,10,39,0
2022-08-14,1,52,0
2022-08-15,1,29,0
2022-08-16,0,18,0
2022-08-17,1,12,0
2022-08-18,1,12,0
2022-08-19,1,7,0
2022-08-20,0,8,0
2022-08-21,1,7,0
2022-08-22,1,7,0
2022-08-23,2,26,0
2022-08-24,1,25,0
2022-08-25,1,20,0
2022-08-26,1,23,0
2022-08-27,0,24,0
2022-08-28,0,32,0
2022-08-29,0,35,0
2022-08-30,0,27,0
2022-08-31,0,19,0
2022-09-01,0,24,0
2022-09-02,0,23,0
2022-09-03,2,55,0
2022-09-04,4,72,0
2022-09-05,4,70,0
2022-09-06,2,58,0
2022-09-07,2,57,0
2022-09-08,1,56,0
2022-09-09,0,59,0
2022-09-10,0,69,0
2022-09-11,0,60,0
2022-09-12,2,51,0
2022-09-13,2,55,0
2022-09-14,1,52,0
2022-09-15,1,38,0
2022-09-16,0,9,0
2022-09-17,0,5,0
2022-09-18,0,4,0
2022-09-19,0,2,0
2022-09-20,0,1,0
2022-09-24,0,1,0
2022-09-26,0,5,0
2022-09-25,0,3,0
2022-09-27,0,4,0
2022-09-28,0,4,0
2022-09-29,0,1,0
2022-09-30,0,1,0
2022-10-01,0,2,0
2022-10-05,0,3,0
2022-10-07,0,2,0
