date,con,asy,atc
2022-07-25,0,1,0
2022-07-26,0,1,0
2022-08-02,0,4,0
2022-08-03,9,45,4
2022-08-04,12,54,9
2022-08-05,7,95,7
2022-08-06,3,69,1
2022-08-07,4,82,4
2022-08-08,0,67,0
2022-08-09,5,49,5
2022-08-10,11,56,8
2022-08-11,0,60,0
2022-08-12,7,37,5
2022-08-13,24,42,21
2022-08-14,8,28,6
2022-08-15,17,38,13
2022-08-16,35,22,21
2022-08-17,14,13,6
2022-08-18,4,5,0
2022-08-19,2,8,1
2022-08-20,1,2,1
2022-08-21,2,2,0
2022-08-22,1,1,0
2022-08-23,1,0,0
2022-08-24,0,2,0
2022-08-25,0,2,0
2022-08-26,0,6,0
2022-08-27,0,1,0
2022-08-30,1,0,1
2022-08-31,0,1,0
2022-09-01,2,3,1
2022-09-02,4,2,3
2022-09-03,2,3,1
2022-09-04,2,0,1
2022-09-05,0,3,0
2022-09-06,0,1,0
2022-09-07,1,0,1
2022-09-10,0,1,0
2022-09-14,0,1,0
2022-09-16,0,1,0
2022-09-18,0,1,0
2022-09-19,1,1,1
2022-09-20,1,1,0
2022-09-21,1,0,1
2022-09-23,0,5,0
2022-09-24,2,0,0
2022-09-26,1,1,1
2022-09-25,0,1,0
2022-09-27,1,0,0
2022-09-28,1,1,0
2022-09-29,0,7,0
2022-09-30,3,5,2
2022-10-01,1,3,0
2022-10-02,0,7,0
2022-10-03,1,20,0
2022-10-04,1,14,1
