date,con,asy,atc
2022-08-04,0,1,0
2022-08-17,0,3,0
2022-08-19,0,1,0
2022-08-20,0,1,0
2022-08-25,0,1,0
2022-08-26,0,1,0
2022-09-20,0,4,0
2022-09-21,4,15,0
2022-09-22,0,59,0
2022-09-23,0,121,0
2022-09-24,1,171,0
2022-09-26,3,233,2
2022-09-25,3,184,1
2022-09-27,4,205,0
2022-09-28,2,189,0
2022-09-29,3,176,3
2022-09-30,4,166,2
2022-10-01,6,156,1
2022-10-02,4,127,0
2022-10-03,0,67,0
2022-10-04,7,29,0
2022-10-05,3,32,0
2022-10-06,6,27,1
2022-10-07,4,33,0
2022-10-08,3,32,0
2022-04-28,0,1,0
2022-10-09,4,49,1
2022-10-10,10,39,1
2022-10-11,6,41,2
2022-10-12,9,49,3
2022-10-13,4,22,0
2022-10-14,0,18,0
2022-10-15,0,9,0
2022-10-16,0,7,0
2022-10-17,3,5,3
2022-10-18,0,7,0
2022-10-20,0,6,0
2022-10-19,0,6,0
2022-10-21,0,5,0
2022-10-22,0,5,0
2022-10-23,0,5,0
2022-10-24,0,4,0
2022-10-25,0,4,0
2022-10-26,0,4,0
2022-10-27,0,3,0
2022-10-28,0,2,0
2022-10-29,0,6,0
2022-10-30,0,6,0
2022-10-31,2,3,0
2022-11-01,1,1,0
2022-11-02,2,6,0
2022-11-03,2,3,0
2022-11-04,1,2,0
