date,con,asy,atc
2022-08-02,0,1,0
2022-08-03,0,1,0
2022-08-04,0,2,0
2022-08-05,0,8,0
2022-08-06,0,5,0
2022-08-07,2,13,0
2022-08-08,0,1,0
2022-08-09,0,3,0
2022-08-10,0,2,0
2022-08-13,0,3,0
2022-08-14,0,4,0
2022-08-15,0,1,0
2022-08-17,0,6,0
2022-08-18,0,11,0
2022-08-19,0,5,0
2022-08-20,0,4,0
2022-08-21,0,6,0
2022-08-23,0,10,0
2022-08-24,1,2,1
2022-08-25,0,12,0
2022-08-26,0,15,0
2022-08-27,0,29,0
2022-08-28,3,42,0
2022-08-29,2,33,0
2022-08-30,1,37,0
2022-08-31,0,45,0
2022-09-01,4,32,0
2022-09-02,2,21,0
2022-09-03,2,15,0
2022-09-04,0,13,0
2022-09-05,3,5,0
2022-09-09,0,2,0
2022-09-11,0,5,0
2022-09-12,0,3,0
2022-09-13,0,16,0
2022-09-14,0,2,0
2022-09-15,0,5,0
2022-09-16,0,2,0
2022-09-18,0,5,0
2022-09-19,0,3,0
2022-09-20,0,1,0
2022-09-21,0,2,0
2022-09-22,0,7,0
2022-09-23,0,4,0
2022-09-24,0,5,0
2022-09-26,0,3,0
2022-09-25,0,1,0
2022-09-28,0,1,0
2022-09-29,2,9,0
2022-09-30,0,3,0
2022-10-01,0,9,0
2022-10-02,0,1,0
2022-10-03,1,6,0
2022-10-04,1,12,1
2022-10-05,0,2,0
2022-10-06,1,15,0
2022-10-07,0,14,0
2022-10-08,0,12,0
2022-04-12,1,37,0
2022-04-13,2,30,1
2022-04-14,0,23,0
2022-04-15,0,17,0
2022-04-16,0,5,0
2022-04-18,1,28,0
2022-04-19,1,61,0
2022-04-20,1,93,0
2022-04-21,1,77,0
2022-04-22,4,172,0
2022-04-23,1,116,0
2022-04-24,0,74,0
2022-04-25,2,49,0
2022-04-26,1,13,0
2022-04-27,2,9,0
2022-04-28,0,4,0
2022-04-29,0,2,0
2022-05-01,0,4,0
2022-05-02,0,5,0
2022-05-03,0,28,0
2022-05-04,0,19,0
2022-05-05,4,7,0
2022-05-06,0,3,0
2022-05-07,1,1,0
2022-05-08,0,1,0
2022-05-09,0,1,0
2022-05-10,0,5,0
2022-05-11,0,10,0
2022-05-12,0,5,0
2022-05-13,0,2,0
2022-05-14,1,8,0
2022-05-15,0,4,0
2022-05-16,0,2,0
2022-05-27,0,3,0
2022-05-28,0,13,0
2022-05-29,0,19,0
2022-05-30,0,15,0
2022-05-31,1,8,0
2022-06-01,0,3,0
2022-06-02,0,4,0
2022-06-11,0,1,0
2022-06-14,0,2,0
2022-06-15,2,0,0
2022-06-16,0,1,0
2022-06-17,0,2,0
2022-10-09,0,20,0
2022-10-10,0,18,0
2022-10-11,1,15,0
2022-10-12,0,18,0
2022-10-13,0,4,0
2022-10-14,0,7,0
2022-10-15,0,3,0
2022-10-16,0,12,0
2022-10-17,0,13,0
2022-10-18,0,8,0
2022-10-20,0,11,0
2022-10-19,0,18,0
2022-10-21,0,10,0
2022-10-22,0,5,0
2022-10-23,0,5,0
2022-10-24,0,5,0
2022-10-25,0,7,0
2022-10-26,0,7,0
2022-10-27,1,20,0
