date,con,asy,atc
2022-07-19,0,127,0
2022-07-20,0,76,0
2022-07-21,0,20,0
2022-07-22,1,19,0
2022-07-23,0,17,0
2022-07-24,2,13,0
2022-07-25,0,7,0
2022-07-26,1,7,0
2022-07-27,7,5,1
2022-07-28,4,17,1
2022-07-29,1,21,0
2022-07-30,1,33,0
2022-07-31,0,43,0
2022-08-01,2,67,1
2022-08-02,0,56,0
2022-08-03,2,41,0
2022-08-04,0,42,0
2022-08-05,0,28,0
2022-08-06,1,30,0
2022-08-07,0,25,0
2022-08-08,0,5,0
2022-08-09,0,10,0
2022-08-10,0,1,0
2022-08-11,1,1,0
2022-08-14,1,1,0
2022-08-15,3,0,0
2022-08-16,0,2,0
2022-08-17,3,8,0
2022-08-18,0,9,0
2022-08-19,1,4,0
2022-08-20,1,11,0
2022-08-21,2,16,0
2022-08-22,3,11,0
2022-08-23,3,16,0
2022-08-24,2,23,0
2022-08-25,1,67,0
2022-08-26,4,42,0
2022-08-27,2,52,0
2022-08-28,14,84,0
2022-08-29,2,27,0
2022-08-30,5,26,3
2022-08-31,1,59,0
2022-09-01,4,46,3
2022-09-02,13,40,13
2022-09-03,0,17,0
2022-09-04,3,24,3
2022-09-05,0,20,0
2022-09-06,0,14,0
2022-09-07,1,11,0
2022-09-08,1,8,1
2022-09-09,9,6,9
2022-09-10,0,1,0
2022-09-11,0,4,0
2022-09-14,0,5,0
2022-09-15,0,2,0
2022-09-17,0,2,0
2022-09-18,2,5,0
2022-09-19,1,7,1
2022-09-20,1,8,1
2022-09-21,3,6,0
2022-09-22,0,2,0
2022-09-23,0,7,0
2022-09-24,0,2,0
2022-09-26,1,1,0
2022-09-25,0,2,0
2022-09-27,1,5,1
2022-09-28,1,4,1
2022-09-29,1,19,0
2022-09-30,0,17,0
2022-10-01,0,11,0
2022-10-02,0,14,0
2022-10-03,2,12,0
2022-10-04,1,14,1
2022-10-05,3,22,0
2022-10-06,4,21,3
2022-10-07,0,24,0
2022-10-08,8,30,1
2022-04-12,3,11,0
2022-04-13,4,42,0
2022-04-14,1,25,0
2022-04-15,0,24,0
2022-04-16,3,19,1
2022-04-17,2,8,0
2022-04-18,2,22,0
2022-04-19,3,13,0
2022-04-20,1,25,0
2022-04-21,3,14,0
2022-04-22,5,36,0
2022-04-23,6,26,0
2022-04-24,5,18,0
2022-04-25,8,9,0
2022-04-26,3,14,0
2022-04-27,4,13,0
2022-04-28,2,5,1
2022-04-29,2,3,0
2022-04-30,4,5,0
2022-05-01,1,4,0
2022-05-02,2,4,0
2022-05-03,12,32,0
2022-05-04,14,26,0
2022-05-05,24,55,0
2022-05-06,29,69,0
2022-05-07,25,76,0
2022-05-08,14,46,0
2022-05-09,25,98,7
2022-05-10,22,67,1
2022-05-11,21,77,0
2022-05-12,15,29,1
2022-05-13,7,40,0
2022-05-14,5,24,0
2022-05-15,8,13,0
2022-05-16,11,22,0
2022-05-17,3,8,1
2022-05-18,11,9,0
2022-05-19,4,24,0
2022-05-20,1,38,0
2022-05-21,3,15,0
2022-05-22,0,53,0
2022-05-23,0,23,0
2022-05-24,2,28,1
2022-05-25,9,12,9
2022-05-26,0,8,0
2022-05-27,4,5,0
2022-05-28,2,7,0
2022-05-29,0,2,0
2022-05-31,2,1,1
2022-06-01,1,2,0
2022-06-02,0,2,0
2022-06-03,0,3,0
2022-06-08,0,1,0
2022-07-09,0,4,0
2022-07-10,0,12,0
2022-07-11,9,64,0
2022-07-12,3,22,0
2022-07-13,1,29,1
2022-07-14,1,51,0
2022-07-15,1,39,1
2022-07-16,0,29,0
2022-07-17,3,39,3
2022-07-18,0,45,0
2022-10-09,11,45,2
2022-10-10,12,26,6
2022-10-11,13,45,0
2022-10-12,12,23,0
2022-10-13,8,8,1
2022-10-14,10,9,2
2022-10-15,7,17,0
2022-10-16,8,8,2
2022-10-17,6,7,0
2022-10-18,10,21,0
2022-10-20,9,12,0
2022-10-19,7,17,0
2022-10-21,13,14,7
2022-10-22,6,17,0
2022-10-23,8,16,1
2022-10-24,6,19,0
2022-10-25,3,21,0
