date,con,asy,atc
2022-07-26,0,4,0
2022-07-27,0,2,0
2022-08-07,1,9,0
2022-08-08,0,4,0
2022-08-09,1,24,0
2022-08-10,0,8,0
2022-08-11,0,6,0
2022-08-12,0,9,0
2022-08-13,1,3,0
2022-08-14,0,10,0
2022-08-15,0,11,0
2022-08-16,0,6,0
2022-08-18,0,14,0
2022-08-19,1,14,0
2022-08-20,1,15,0
2022-08-21,1,10,0
2022-08-22,3,8,0
2022-08-23,2,9,0
2022-08-24,1,12,0
2022-08-25,0,13,0
2022-08-26,1,15,0
2022-08-27,0,12,0
2022-08-28,0,27,0
2022-08-29,0,32,0
2022-08-30,1,27,0
2022-08-31,1,31,0
2022-09-01,0,20,0
2022-09-02,2,25,0
2022-09-03,0,16,0
2022-09-04,0,18,0
2022-09-05,0,15,0
2022-09-06,0,7,0
2022-09-07,0,12,0
2022-09-08,0,12,0
2022-09-09,1,39,0
2022-09-10,0,45,0
2022-09-11,0,38,0
2022-09-12,0,32,0
2022-09-13,0,18,0
2022-09-14,0,30,0
2022-09-15,0,30,0
2022-09-16,0,25,0
2022-09-17,0,12,0
2022-09-18,0,1,0
2022-09-19,0,11,0
2022-09-20,0,9,0
2022-09-21,0,19,0
2022-09-22,0,16,0
2022-09-23,0,1,0
2022-09-25,0,2,0
2022-09-27,0,12,0
2022-09-28,0,6,0
2022-09-29,0,4,0
2022-10-01,1,5,0
2022-10-02,0,4,0
2022-10-03,0,9,0
2022-10-04,0,18,0
2022-10-05,0,46,0
2022-10-06,0,56,0
2022-10-07,0,108,0
2022-10-08,0,31,0
2022-04-12,1,44,0
2022-04-13,0,42,0
2022-04-14,1,29,0
2022-04-15,0,41,0
2022-04-16,0,12,0
2022-04-17,0,11,0
2022-04-18,1,13,0
2022-04-19,0,4,0
2022-04-20,0,3,0
2022-04-22,1,2,0
2022-04-23,1,3,0
2022-04-24,0,2,0
2022-04-25,0,3,0
2022-04-26,0,2,0
2022-04-28,0,7,0
2022-04-29,0,1,0
2022-05-03,0,1,0
2022-05-04,0,1,0
2022-05-07,0,1,0
2022-05-10,0,2,0
2022-05-13,0,1,0
2022-05-15,0,4,0
2022-05-17,0,1,0
2022-05-19,0,1,0
2022-05-20,0,1,0
2022-05-28,1,0,0
2022-06-30,0,2,0
2022-10-09,0,48,0
2022-10-10,0,29,0
2022-10-11,0,9,0
2022-10-12,0,15,0
2022-10-13,0,22,0
2022-10-14,1,37,0
2022-10-15,0,29,0
2022-10-16,0,23,0
2022-10-17,5,32,0
2022-10-18,0,39,0
2022-10-20,0,40,0
2022-10-19,0,30,0
2022-10-21,0,37,0
2022-10-22,0,39,0
2022-10-23,1,28,0
2022-10-24,0,27,0
2022-10-25,0,32,0
2022-10-26,0,53,0
2022-10-27,0,57,0
2022-10-28,0,70,0
2022-10-29,0,96,0
2022-10-30,0,82,0
2022-10-31,0,76,0
2022-11-01,1,64,0
2022-11-02,0,77,0
