date,con,asy,atc
2022-07-23,0,3,0
2022-07-24,0,1,0
2022-07-30,0,2,0
2022-07-31,0,9,0
2022-08-01,0,28,0
2022-08-02,0,20,0
2022-08-03,0,25,0
2022-08-04,0,27,0
2022-08-05,0,42,0
2022-08-06,0,52,0
2022-08-07,0,69,0
2022-08-08,0,146,0
2022-08-09,0,122,0
2022-08-10,0,380,0
2022-08-11,1,410,1
2022-08-12,2,334,2
2022-08-13,2,396,2
2022-08-14,1,343,1
2022-08-15,12,248,11
2022-08-16,0,307,0
2022-08-17,9,224,5
2022-08-18,6,221,2
2022-08-19,5,184,1
2022-08-20,6,200,5
2022-08-21,4,189,1
2022-08-22,4,173,2
2022-08-23,6,169,1
2022-08-24,13,154,1
2022-08-25,2,133,2
2022-08-26,15,77,4
2022-08-27,4,57,1
2022-08-28,8,48,4
2022-08-29,14,40,13
2022-08-30,1,33,0
2022-08-31,5,33,5
2022-09-01,4,34,4
2022-09-02,1,35,1
2022-09-03,0,33,0
2022-09-04,1,29,1
2022-09-05,4,32,4
2022-09-06,2,29,2
2022-09-07,1,28,1
2022-09-08,3,27,3
2022-09-09,2,27,2
2022-09-10,2,26,2
2022-09-11,4,24,4
2022-09-12,3,23,3
2022-09-13,1,25,1
2022-09-14,2,25,2
2022-09-15,1,23,1
2022-09-16,1,23,1
2022-09-17,1,24,1
2022-09-18,0,19,0
2022-09-19,0,12,0
2022-09-20,0,11,0
2022-09-21,0,9,0
2022-09-22,0,8,0
