date,con,asy,atc
2022-08-10,1,1,0
2022-08-11,1,1,0
2022-08-13,1,1,0
2022-08-14,1,1,0
2022-08-15,4,4,2
2022-08-16,6,6,0
2022-08-17,36,36,1
2022-08-18,52,52,1
2022-08-19,33,33,0
2022-08-20,21,21,0
2022-08-21,16,16,0
2022-08-22,13,13,2
2022-08-23,15,15,3
2022-08-24,16,16,2
2022-08-25,15,15,11
2022-08-26,5,5,0
2022-08-27,13,13,0
2022-08-28,6,6,1
2022-08-29,8,8,2
2022-08-30,4,4,2
2022-08-31,4,4,1
2022-09-01,8,8,3
2022-09-02,8,8,0
2022-09-03,1,1,0
2022-09-04,2,2,0
2022-09-05,2,2,1
